index	claim	evidence	label
152	Forkhead 0 (fox0) transcription factors are involved in apoptosis.	The forkhead O (FoxO) family of transcription factors participates in diverse physiologic processes, including induction of cell-cycle arrest, stress resistance, differentiation, apoptosis, and metabolism.	SUPPORTS
153	FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).	Thus, one way in which members of the Sir2 family of proteins may increase organismal longevity is by tipping FOXO-dependent responses away from apoptosis and toward stress resistance.	REFUTES
154	Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.	Here, we identify Foxk proteins (Foxk1 and Foxk2) as transcriptional repressors of autophagy in muscle cells and fibroblasts. Foxk1/2 specifically recruits Sin3A-HDAC complexes to restrict acetylation of histone H4 and expression of critical autophagy genes.	SUPPORTS
155	Foxp3 enables the expression of transcriptional regulators implicated in memory T cell development.	Our results suggest that, during evolution, a CNS1-dependent mechanism of extrathymic differentiation of Treg cells emerged in placental animals to enforce maternal-fetal tolerance. Here, we demonstrate that a Foxp3 enhancer, conserved noncoding sequence 1 (CNS1), essential for pTreg but dispensable for tTreg cell generation, is present only in placental mammals. CNS1 is largely composed of mammalian-wide interspersed repeats (MIR) that have undergone retrotransposition during early mammalian radiation. Furthermore, when mated with allogeneic, but not syngeneic, males, CNS1-deficient females showed increased fetal resorption accompanied by increased immune cell infiltration and defective remodeling of spiral arteries.	NOT_ENOUGH_INFO
156	Foxp3 represses the expression of transcriptional regulators implicated in memory T cell development.	Regulatory T (Treg) cells, whose differentiation and function are controlled by X chromosome-encoded transcription factor Foxp3, are generated in the thymus (tTreg) and extrathymically (peripheral, pTreg), and their deficiency results in fatal autoimmunity. CNS1 is largely composed of mammalian-wide interspersed repeats (MIR) that have undergone retrotransposition during early mammalian radiation. Furthermore, when mated with allogeneic, but not syngeneic, males, CNS1-deficient females showed increased fetal resorption accompanied by increased immune cell infiltration and defective remodeling of spiral arteries. Our results suggest that, during evolution, a CNS1-dependent mechanism of extrathymic differentiation of Treg cells emerged in placental animals to enforce maternal-fetal tolerance. Here, we demonstrate that a Foxp3 enhancer, conserved noncoding sequence 1 (CNS1), essential for pTreg but dispensable for tTreg cell generation, is present only in placental mammals.	NOT_ENOUGH_INFO
157	G-CSF increases the expansion and infiltration of MDSCs into tumors.	Here, integrating human tumour genomics and syngeneic mammary tumour models, we demonstrate that mTOR signalling in cancer cells dictates a mammary tumour's ability to stimulate MDSC accumulation through regulating G-CSF.	SUPPORTS
158	GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.	Furthermore, Gata3 mutant hematopoietic progenitor cells fail to be recruited into an increased cycling state after 5-fluorouracil-induced myelosuppression. Therefore, GATA-3 is required for the maintenance of a normal number of LT-HSCs and for their entry into the cell cycle.	SUPPORTS
159	GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.	In the present study, we show that Gata3-null mutant mice generate fewer LT-HSCs and that fewer Gata3-null LT-HSCs are in cycle. Therefore, GATA-3 is required for the maintenance of a normal number of LT-HSCs and for their entry into the cell cycle.	SUPPORTS
160	Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.	The estimated odds ratio for the risk of gastric cancer in those with a history of infection with H pylori was 2.77 (95% confidence interval 1.04 to 7.97, 2p = 0.039).    CONCLUSIONS H pylori infection may be an important cause of gastric cancer; between 35% and 55% of all cases may be associated with such an infection.	REFUTES
161	Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.	The estimated odds ratio for the risk of gastric cancer in those with a history of infection with H pylori was 2.77 (95% confidence interval 1.04 to 7.97, 2p = 0.039).    CONCLUSIONS H pylori infection may be an important cause of gastric cancer; between 35% and 55% of all cases may be associated with such an infection.	SUPPORTS
162	General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.	There was a significantly greater improvement in the Constant-Murley score in the specific exercise group than in the control exercise group (24 points (95% confidence interval 19 to 28.0) v 9 points (5 to 13); mean difference between group: 15 points (8.5 to 20.6)).	REFUTES
163	Genes involved in pre-mRNA splicing have a significant impact on genome stability.	We demonstrate a widespread role for mRNA-processing factors in preventing DNA damage, which in some cases is caused by aberrant RNA-DNA structures.	SUPPORTS
164	Genes regulated by Esrrb transcription factor are sensitive to Mbd3 function.	Acute depletion of Oct4 reduced binding of Tcfcp2l1, Dax1, and Esrrb to several target genes. Transcription factors, such as Oct4, are critical for establishing and maintaining pluripotent cell identity.	NOT_ENOUGH_INFO
165	Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.	Furthermore, in the context of mice on a Western diet, genetically induced deficiency of mast cells, or their pharmacological stabilization, reduces body weight gain and levels of inflammatory cytokines, chemokines and proteases in serum and WAT, in concert with improved glucose homeostasis and energy expenditure.	SUPPORTS
166	Genetic deletion of JAM-A increases gut permeability.	Mice lacking junctional adhesion molecule A (JAM-A, encoded by F11r) exhibit enhanced intestinal epithelial permeability, bacterial translocation, and elevated colonic lymphocyte numbers, yet do not develop colitis.	SUPPORTS
167	Glial calcium waves influence seizures.	We found that a Ca2+ elevation in astrocytes correlates with both the initial development and the maintenance of a focal, seizure-like discharge. Our data reveal that neurons engage astrocytes in a recurrent excitatory loop (possibly involving gliotransmission) that promotes seizure ignition and sustains the ictal discharge.	SUPPORTS
168	Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.	These include glioblastoma multiforme (GBM), which is characterized by independent but interrelated features of extensive invasion into normal brain parenchyma, rapid growth, necrosis, and angiogenesis.	SUPPORTS
169	Glycan adaptation involves insertion-deletion events.	Broadly neutralizing antibodies against highly variable viral pathogens are much sought after to treat or protect against global circulating viruses.	NOT_ENOUGH_INFO
170	Glycan adaptation is rarely observed in the B-cell repertoire.	The monoclonal antibodies largely recapitulate the neutralization breadth found in the corresponding donor serum and many recognize novel epitopes on envelope (Env) glycoprotein gp120, illuminating new targets for vaccine design. Analysis of neutralization by the full complement of anti-HIV broadly neutralizing monoclonal antibodies now available reveals that certain combinations of antibodies should offer markedly more favourable coverage of the enormous diversity of global circulating viruses than others and these combinations might be sought in active or passive immunization regimes.	NOT_ENOUGH_INFO
171	Gpr124 increases BBB breakdown in mouse models of ischemic stroke.	Here Gpr124 conditional knockout (CKO) in the endothelia of adult mice did not affect homeostatic BBB integrity, but resulted in BBB disruption and microvascular hemorrhage in mouse models of both ischemic stroke and glioblastoma, accompanied by reduced cerebrovascular canonical Wnt–β-catenin signaling.	REFUTES
172	Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.	Here Gpr124 conditional knockout (CKO) in the endothelia of adult mice did not affect homeostatic BBB integrity, but resulted in BBB disruption and microvascular hemorrhage in mouse models of both ischemic stroke and glioblastoma, accompanied by reduced cerebrovascular canonical Wnt–β-catenin signaling.	SUPPORTS
173	Guanine nucleotide dissociation inhibitor (Rho-GDI) interacts with the p75 NTR death domain	Importantly, proteolytic processing of p75(NTR) was observed in p75(NTR)-positive patient tumor specimens and brain tumor initiating cells.	NOT_ENOUGH_INFO
174	H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.	H. pylori–mediated upregulation of AID resulted in the accumulation of nucleotide alterations in the TP53 tumor suppressor gene in gastric cells in vitro. Our findings provide evidence that aberrant AID expression caused by H. pylori infection might be a mechanism of mutation accumulation in the gastric mucosa during H. pylori–associated gastric carcinogenesis.	SUPPORTS
175	H4 G94P proteins induce chromatin assembly, which increases free histones.	Regulated histone proteolysis has major implications for the maintenance of epigenetic marks on chromatin, genomic stability and the packaging of sperm DNA. We have also identified the ubiquitin conjugating enzymes (E2) Ubc4 and Ubc5, as well as the ubiquitin ligase (E3) Tom1 (temperature dependent organization in mitotic nucleus 1), as enzymes involved in the ubiquitylation of excess histones. Although chromosomal histones are stable, excess (non-chromatin bound) histones are rapidly degraded in a Rad53 (radiation sensitive 53) kinase-dependent manner in Saccharomyces cerevisiae. Here we demonstrate that excess histones associate with Rad53 in vivo and seem to undergo modifications such as tyrosine phosphorylation and polyubiquitylation, before their proteolysis by the proteasome.	NOT_ENOUGH_INFO
176	H4 G94P proteins induce degradation of free histones via Rad53-dependent mechanisms.	We have identified the Tyr 99 residue of histone H3 as being critical for the efficient ubiquitylation and degradation of this histone. Regulated histone proteolysis has major implications for the maintenance of epigenetic marks on chromatin, genomic stability and the packaging of sperm DNA. We have also identified the ubiquitin conjugating enzymes (E2) Ubc4 and Ubc5, as well as the ubiquitin ligase (E3) Tom1 (temperature dependent organization in mitotic nucleus 1), as enzymes involved in the ubiquitylation of excess histones. Histone levels are tightly regulated to prevent harmful effects such as genomic instability and hypersensitivity to DNA-damaging agents due to the accumulation of these highly basic proteins when DNA replication slows down or stops. Here we demonstrate that excess histones associate with Rad53 in vivo and seem to undergo modifications such as tyrosine phosphorylation and polyubiquitylation, before their proteolysis by the proteasome. Although chromosomal histones are stable, excess (non-chromatin bound) histones are rapidly degraded in a Rad53 (radiation sensitive 53) kinase-dependent manner in Saccharomyces cerevisiae.	NOT_ENOUGH_INFO
177	H4 G94P proteins suppress degradation of free histones via Rad53-dependent mechanisms.	Although chromosomal histones are stable, excess (non-chromatin bound) histones are rapidly degraded in a Rad53 (radiation sensitive 53) kinase-dependent manner in Saccharomyces cerevisiae. We have also identified the ubiquitin conjugating enzymes (E2) Ubc4 and Ubc5, as well as the ubiquitin ligase (E3) Tom1 (temperature dependent organization in mitotic nucleus 1), as enzymes involved in the ubiquitylation of excess histones.	NOT_ENOUGH_INFO
178	HAND2 methylation is a key step in early endometrial carcinogenesis.	METHODS AND FINDINGS Epigenome-wide methylation analysis of >27,000 CpG sites in endometrial cancer tissue samples (n = 64) and control samples (n = 23) revealed that HAND2 (a gene encoding a transcription factor expressed in the endometrial stroma) is one of the most commonly hypermethylated and silenced genes in endometrial cancer. Increased HAND2 methylation was a feature of premalignant endometrial lesions and was seen to parallel a decrease in RNA and protein levels. HAND2 methylation analysis of endometrial secretions collected using high vaginal swabs taken from women with postmenopausal bleeding specifically identified those patients with early stage endometrial cancer with both high sensitivity and high specificity (receiver operating characteristics area under the curve = 0.91 for stage 1A and 0.97 for higher than stage 1A). CONCLUSIONS HAND2 methylation is a common and crucial molecular alteration in endometrial cancer that could potentially be employed as a biomarker for early detection of endometrial cancer and as a predictor of treatment response.	SUPPORTS
179	HNF4A mutations are associated with macrosomia in infancy.	Factors that predict macrosomia are poorly understood. We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice. The increased rate of macrosomia in the offspring of pregnant women with diabetes and in congenital hyperinsulinaemia is mediated by increased foetal insulin secretion. Background  Macrosomia is associated with considerable neonatal and maternal morbidity.	NOT_ENOUGH_INFO
180	HOXB4 facilitates HSC expansion when co-cultured with HSCs.	Furthermore, angiopoietin-like 5, angiopoietin-like 7 and microfibril-associated glycoprotein 4 also supported expansion of HSCs in culture. The coiled-coil domain of Angptl2 was capable of stimulating expansion of HSCs. We observed a 24- or 30-fold net expansion of long-term HSCs by reconstitution analysis when we cultured highly enriched HSCs for 10 days in the presence of Angptl2 or Angptl3 together with saturating levels of other growth factors. Here we show, using microarray studies, that the HSC-supportive mouse fetal liver CD3+ cells specifically express the proteins angiopoietin-like 2 (Angptl2) and angiopoietin-like 3 (Angptl3). Successful ex vivo expansion of hematopoietic stem cells (HSCs) would greatly benefit the treatment of disease and the understanding of crucial questions of stem cell biology.	NOT_ENOUGH_INFO
181	HOXB4 is a highly expressed component of cellular secretome from fetal liver cell populations.	The coiled-coil domain of Angptl2 was capable of stimulating expansion of HSCs. We observed a 24- or 30-fold net expansion of long-term HSCs by reconstitution analysis when we cultured highly enriched HSCs for 10 days in the presence of Angptl2 or Angptl3 together with saturating levels of other growth factors. Successful ex vivo expansion of hematopoietic stem cells (HSCs) would greatly benefit the treatment of disease and the understanding of crucial questions of stem cell biology. Here we show, using microarray studies, that the HSC-supportive mouse fetal liver CD3+ cells specifically express the proteins angiopoietin-like 2 (Angptl2) and angiopoietin-like 3 (Angptl3).	NOT_ENOUGH_INFO
182	HSCT-T dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before AMI.	Care must also be exercised because of the higher imprecision of the evaluated assay and the greater effect of lot-to-lot reagent variation at low troponin concentrations.    RESULTS Twenty three studies reported the performance of the evaluated assay at presentation. STUDY APPRAISAL AND DATA SYNTHESIS The first author screened all titles and abstracts identified through the searches and selected all potentially relevant papers. SYSTEMATIC REVIEW REGISTRATION PROSPERO registration number CRD42013003926. DESIGN Systematic review and meta-analysis of diagnostic test accuracy studies.   	NOT_ENOUGH_INFO
183	Having a main partner improves HIV outcomes.	In an analysis stratified by previous antiretroviral therapy and clinical stage when starting HAART (US Centers for Disease Control and Prevention group A, B, or C), the adjusted hazard ratio for progression to AIDS or death was 0.79 (95% confidence interval 0.63 to 0.98) for participants with a stable partnership compared with those without. CONCLUSIONS A stable partnership is associated with a slower rate of progression to AIDS or death in HIV infected patients receiving HAART.	SUPPORTS
184	Having a main partner worsens HIV outcomes.	In an analysis stratified by previous antiretroviral therapy and clinical stage when starting HAART (US Centers for Disease Control and Prevention group A, B, or C), the adjusted hazard ratio for progression to AIDS or death was 0.79 (95% confidence interval 0.63 to 0.98) for participants with a stable partnership compared with those without. CONCLUSIONS A stable partnership is associated with a slower rate of progression to AIDS or death in HIV infected patients receiving HAART.	REFUTES
185	HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).	In unadjusted GEE analyses, for a given fasting glucose, HbA1c values were statistically significantly lower in those with (5.72%) vs those without (6.01%) SCT (mean HbA1c difference, −0.29%; 95% CI, −0.35% to −0.23%). Findings were similar in models adjusted for key risk factors and in analyses using 2001 concurrent measures of 2-hour glucose and HbA1c concentration for those with SCT (mean, 5.35%) vs those without SCT (mean, 5.65%) for a mean HbA1c difference of −0.30% (95% CI, −0.39% to −0.21%). The prevalence of prediabetes and diabetes was statistically significantly lower among participants with SCT when defined using HbA1c values (29.2% vs 48.6% for prediabetes and 3.8% vs 7.3% for diabetes in 572 observations from participants with SCT and 6877 observations from participants without SCT; P<.001 for both comparisons). Conclusions and Relevance Among African Americans from 2 large, well-established cohorts, participants with SCT had lower levels of HbA1c at any given concentration of fasting or 2-hour glucose compared with participants without SCT. These findings suggest that HbA1c may systematically underestimate past glycemia in black patients with SCT and may require further evaluation.	REFUTES
186	Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.	Here we show that infection of gastric epithelial cells with 'cag' pathogenicity island (cagPAI)-positive H. pylori induced aberrant expression of activation-induced cytidine deaminase (AID), a member of the cytidine-deaminase family that acts as a DNA- and RNA-editing enzyme, via the IκB kinase–dependent nuclear factor-κB activation pathway. Our findings provide evidence that aberrant AID expression caused by H. pylori infection might be a mechanism of mutation accumulation in the gastric mucosa during H. pylori–associated gastric carcinogenesis.	SUPPORTS
187	Helminths interfere with immune system control of coinfections by microbial pathogens 16.	We show that mice infected with the intestinal helminth Nippostrongylus brasiliensis (Nb) exhibit a transitory impairment of resistance to airborne Mtb infection. Furthermore, a second dose of Nb infection substantially increases the bacterial burden in the lungs of co-infected mice. The Th2 response can thus enhance the intracellular persistence of Mtb, in part by mediating the alternative activation of macrophages via the IL-4Rα signaling pathway.	SUPPORTS
188	High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).	In the first year of follow-up, multivariable-adjusted odds ratios for having frequent exacerbations were 1.2 (95% CI, 0.7-2.2; 17 events/1000 person-years) for individuals with 1 high biomarker, 1.7 (95% CI, 0.9-3.2; 32 events/1000 person-years) for individuals with 2 high biomarkers, and 3.7 (95% CI, 1.9-7.4; 81 events/1000 person-years) for individuals with 3 high biomarkers compared with individuals who had no elevated biomarkers (9 events/1000 person-years; trend: P = 2 × 10(-5)). CONCLUSIONS AND RELEVANCE Simultaneously elevated levels of CRP and fibrinogen and leukocyte count in individuals with COPD were associated with increased risk of having exacerbations, even in those with milder COPD and in those without previous exacerbations.	SUPPORTS
189	Human embryonic stem cells give rise to cell types from all three embryonic germ layers.	The SCNT-hES-1 cells displayed typical ES cell morphology and cell surface markers and were capable of differentiating into embryoid bodies in vitro and of forming teratomas in vivo containing cell derivatives from all three embryonic germ layers in severe combined immunodeficient mice.	SUPPORTS
190	Human embryonic stem cells give rise to cell types from all three embryonic germ layers.	Embryonic stem cells have the ability to remain undifferentiated and proliferate indefinitely in vitro while maintaining the potential to differentiate into derivatives of all three embryonic germ layers.	SUPPORTS
191	Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.	Embryonic stem cells have the ability to remain undifferentiated and proliferate indefinitely in vitro while maintaining the potential to differentiate into derivatives of all three embryonic germ layers.	REFUTES
192	Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.	The SCNT-hES-1 cells displayed typical ES cell morphology and cell surface markers and were capable of differentiating into embryoid bodies in vitro and of forming teratomas in vivo containing cell derivatives from all three embryonic germ layers in severe combined immunodeficient mice.	SUPPORTS
193	Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.	Embryonic stem (ES) cell lines derived from human blastocysts have the developmental potential to form derivatives of all three embryonic germ layers even after prolonged culture.	SUPPORTS
194	Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.	Embryonic stem cells have the ability to remain undifferentiated and proliferate indefinitely in vitro while maintaining the potential to differentiate into derivatives of all three embryonic germ layers.	SUPPORTS
195	Hypocretin neurones suppress panicprone state in rats.	Here we show that activation of ORX-synthesizing neurons is necessary for developing a panic-prone state in the rat panic model, and either silencing of the hypothalamic gene encoding ORX (Hcrt) with RNAi or systemic ORX-1 receptor antagonists blocks the panic responses.	REFUTES
196	Hypothalamic glutamate neurotransmission is unrelated to energy balance.	Corroboratively, selective disruption of glutamate release from adult PVH neurons led to rapid obesity development via reduced energy expenditure and hyperphagia. Thus, this study establishes glutamate as the primary neurotransmitter that mediates MC4Rs on Sim1 neurons in body weight regulation.	REFUTES
197	IFIT1 speeds viral replication by allowing for the proliferation of mis-capped viral RNAs.	Although endogenous mRNA is also 5'-triphosphorylated, backbone modifications and the 5'-ppp-linked methylguanosine ((m7)G) cap prevent immunorecognition. Moreover, we identified a single conserved amino acid (H830) in the RIG-I RNA binding pocket as the mediator of steric exclusion of N1-2'O-methylated RNA.	NOT_ENOUGH_INFO
198	ITAM phosphorylation allows for the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).	The mechanism by which TCRalphabeta ligand binding confers conformational changes to CD3 is unknown. Thus, our permissive geometry model provides a molecular mechanism that rationalizes how the information of ligand binding to TCRalphabeta is transmitted to the CD3 subunits and to the intracellular signaling machinery. T cell receptor (TCR-CD3) triggering involves both receptor clustering and conformational changes at the cytoplasmic tails of the CD3 subunits. This conformational change at CD3 reverts upon ligand dissociation and is required for T cell activation. By using well-defined ligands, we showed that induction of the conformational change requires both multivalent engagement and the mobility restriction of the TCR-CD3 imposed by the plasma membrane. The conformational change is elicited by cooperative rearrangements of two TCR-CD3 complexes and does not require accompanying changes in the structure of the TCRalphabeta ectodomains.	NOT_ENOUGH_INFO
199	Immune complex triggered cell death leads to extracellular release of nuclear DNA.	Together, these findings highlight a role for mitochondria in the generation not only of NETs but also of pro-inflammatory oxidized mitochondrial DNA in autoimmune diseases. Extracellular release of oxidized mitochondrial DNA is proinflammatory in vitro, and when this DNA is injected into mice, it stimulates type I interferon (IFN) signaling through a pathway dependent on the DNA sensor STING. Neutrophil extracellular traps (NETs) are implicated in autoimmunity, but how they are generated and their roles in sterile inflammation remain unclear. Ribonucleoprotein immune complexes (RNP ICs), inducers of NETosis, require mitochondrial reactive oxygen species (ROS) for maximal NET stimulation. Mitochondrial ROS inhibition in vivo reduces disease severity and type I IFN responses in a mouse model of lupus.	NOT_ENOUGH_INFO
200	Immune complex triggered cell death leads to sequestration of oxidized mitochondrial DNA.	Neutrophil extracellular traps (NETs) are implicated in autoimmunity, but how they are generated and their roles in sterile inflammation remain unclear. Mitochondrial ROS inhibition in vivo reduces disease severity and type I IFN responses in a mouse model of lupus. Mitochondrial ROS are also necessary for spontaneous NETosis of low-density granulocytes from individuals with systemic lupus erythematosus. Extracellular release of oxidized mitochondrial DNA is proinflammatory in vitro, and when this DNA is injected into mice, it stimulates type I interferon (IFN) signaling through a pathway dependent on the DNA sensor STING.	NOT_ENOUGH_INFO
201	Immune responses in immune cells are geographically segregated.	Although the balance between systemic pro- and anti-inflammatory signals is crucial to TB disease outcome, here we find that these signals are physically segregated within each granuloma.	SUPPORTS
202	Improvements in OER catalysts show stable activity over several hundred hours.	The catalyst shows no evidence of degradation after more than 500 hours of operation.	SUPPORTS
203	In British Men, haplogroup I increases risk of cardiovascular disease by 50%.	Carriers of haplogroup I had about a 50% higher age-adjusted risk of coronary artery disease than did men with other Y chromosome lineages in BHF-FHS (odds ratio 1·75, 95% CI 1·20-2·54, p=0·004), WOSCOPS (1·45, 1·08-1·95, p=0·012), and joint analysis of both populations (1·56, 1·24-1·97, p=0·0002).	SUPPORTS
204	In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.	We show that many mRNAs encoding iron uptake or iron mobilization proteins are expressed in iron-replete conditions in the absence of the S. cerevisiae RNase III ortholog Rnt1p or of the nuclear exosome component Rrp6p. Extended forms of these mRNAs accumulate in the absence of Rnt1p or of the 5'-->3' exonucleases Xrn1p and Rat1p, showing that multiple degradative pathways contribute to the surveillance of aberrant forms of these transcripts. RNase III-deficient cells are hypersensitive to high iron concentrations, suggesting that Rnt1p-mediated RNA surveillance is required to prevent iron toxicity. These results show that RNA surveillance through multiple ribonucleolytic pathways plays a role in iron homeostasis in yeast to avoid the potentially toxic effects of the expression of the iron starvation response in iron-replete conditions.	SUPPORTS
205	In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.	Progression to invasion was promoted by fibroblasts and inhibited by normal myoepithelial cells. Molecular profiles of isolated luminal epithelial and myoepithelial cells identified an intricate interaction network involving TGFbeta, Hedgehog, cell adhesion, and p63 required for myoepithelial cell differentiation, the elimination of which resulted in loss of myoepithelial cells and progression to invasion.	SUPPORTS
206	In domesticated populations of Saccharomyces cerevisiae, segmental aneuploidy is very common.	Together, these results shed light on the origins, evolutionary history, and phenotypic diversity of industrial yeasts and provide a resource for further selection of superior strains. PAPERCLIP. Here, we present the genomes and phenomes of 157 industrial Saccharomyces cerevisiae yeasts. Large-scale phenotyping and genome analysis further show strong industry-specific selection for stress tolerance, sugar utilization, and flavor production, while the sexual cycle and other phenotypes related to survival in nature show decay, particularly in beer yeasts.	NOT_ENOUGH_INFO
207	In domesticated populations of Saccharomyces cerevisiae, segmental aneuploidy occurs infrequently.	Our analyses reveal that today's industrial yeasts can be divided into five sublineages that are genetically and phenotypically separated from wild strains and originate from only a few ancestors through complex patterns of domestication and local divergence. Large-scale phenotyping and genome analysis further show strong industry-specific selection for stress tolerance, sugar utilization, and flavor production, while the sexual cycle and other phenotypes related to survival in nature show decay, particularly in beer yeasts.	NOT_ENOUGH_INFO
208	In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.	Unbiased analyses of mice revealed that resistance was due to upregulation of PD-L1 on melanoma cells and associated with T-cell exhaustion.	SUPPORTS
209	In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.	All six macaques in group 3 were protected.	SUPPORTS
210	In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, more than 50 percent of the cells with green florescent colocalize with cell proliferation markers.	In response to mitotic signals, increased proliferation of Sox2+ cells is coupled with the generation of Sox2+ NSCs as well as neuronal precursors. To characterize the properties of adult neural stem cells (NSCs), we generated and analyzed Sox2-GFP transgenic mice. An asymmetric contribution of Sox2+ NSCs may play an important role in maintaining the constant size of the NSC pool and producing newly born neurons during adult neurogenesis. Lentivirus- and retrovirus-mediated fate-tracing studies showed that Sox2+ cells in the SGZ have potential to give rise to neurons and astrocytes, revealing their multipotency at the population as well as at a single-cell level. Sox2-GFP cells in the subgranular zone (SGZ) express markers specific for progenitors, but they represent two morphologically distinct populations that differ in proliferation levels.	NOT_ENOUGH_INFO
211	In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.	The multivariable-adjusted rate ratio (RR) of serious cardiovascular events for current use vs nonuse of ADHD medications was 0.83 (95% CI, 0.72-0.96). Among new users of ADHD medications, the adjusted RR was 0.77 (95% CI, 0.63-0.94). CONCLUSIONS Among young and middle-aged adults, current or new use of ADHD medications, compared with nonuse or remote use, was not associated with an increased risk of serious cardiovascular events.	REFUTES
212	Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.	Incidence for 10/66 dementia varied between 18·2 and 30·4 per 1000 person-years, and were 1·4-2·7 times higher than were those for DSM-IV dementia (9·9-15·7 per 1000 person-years).	SUPPORTS
213	Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.	Incidence for 10/66 dementia varied between 18·2 and 30·4 per 1000 person-years, and were 1·4-2·7 times higher than were those for DSM-IV dementia (9·9-15·7 per 1000 person-years).	REFUTES
214	Incidence of sepsis has fallen substantially from 2009 to 2014.	From 2009-2014, sepsis incidence using clinical criteria was stable (+0.6% relative change/y [95% CI, −2.3% to 3.5%], P = .67) whereas incidence per claims increased (+10.3%/y [95% CI, 7.2% to 13.3%], P < .001). Conclusions and Relevance In clinical data from 409 hospitals, sepsis was present in 6% of adult hospitalizations, and in contrast to claims-based analyses, neither the incidence of sepsis nor the combined outcome of death or discharge to hospice changed significantly between 2009-2014.	REFUTES
215	Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).	RESULTS The rate of preventable ordering ADEs decreased by 66% from 10.4 per 1000 patient-days (95% confidence interval [CI], 7-14) before the intervention to 3.5 (95% CI, 1-5; P<.001) after the intervention. CONCLUSIONS The presence of a pharmacist on rounds as a full member of the patient care team in a medical ICU was associated with a substantially lower rate of ADEs caused by prescribing errors.	SUPPORTS
216	Increase of p62 in prostate tumor stroma results in defective autophagy.	This demonstrates that p62 is a negative regulator of liver inflammation and fibrosis through its ability to promote VDR signaling in HSCs, whose activation supports HCC. Total body or HSC-specific p62 ablation potentiates HSCs and enhances inflammation, fibrosis, and HCC progression.	NOT_ENOUGH_INFO
217	Increased LDL receptors plays a role in the reduction of plasma Lp(a).	RESULTS Alirocumab reduced ultracentrifugally isolated LDL-C by 55.1%, LDL-apoB by 56.3%, and plasma Lp(a) by 18.7%. The fall in LDL-apoB was caused by an 80.4% increase in LDL-apoB FCR and a 23.9% reduction in LDL-apoB PR. The latter was due to a 46.1% increase in IDL-apoB FCR coupled with a 27.2% decrease in conversion of IDL to LDL. The increase in apo(a) FCR during alirocumab treatment suggests that increased LDL receptors may also play a role in the reduction of plasma Lp(a).   	SUPPORTS
218	Increased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.	Cystic fibrosis is caused by mutations in the cystic fibrosis transmembrane conductance regulator (encoded by Cftr) that impair its role as an apical chloride channel that supports bicarbonate transport. Here we show that colonic epithelial cells and whole lung tissue from Cftr-deficient mice show a defect in peroxisome proliferator-activated receptor-gamma (PPAR-gamma, encoded by Pparg) function that contributes to a pathological program of gene expression.	NOT_ENOUGH_INFO
